Step,Active Nodes,Queue Length,System Utilization,Running Tasks,Cumulative Completed,Rescheduled Events
0,511,1284,0.8521803248985199,736,0,21
1,504,1331,0.8525234433469705,721,0,31
2,522,1537,0.8559180035913507,751,0,31
3,510,1599,0.8626043386121401,740,75,27
4,522,1504,0.8635307768837166,765,151,25
5,521,1521,0.8601707218634744,764,235,26
6,501,1512,0.8583703192193675,736,315,23
7,524,1412,0.8411516053980783,764,428,10
8,541,1311,0.8284061388943159,788,522,26
9,537,1244,0.816938904595311,785,620,30
10,552,1143,0.8055001092455338,814,769,35
11,542,1227,0.8126438540310409,811,847,25
12,537,1334,0.8225788757826181,812,921,20
13,528,1408,0.8284506523893901,808,1030,32
14,548,1342,0.8203496040741505,832,1124,25
15,557,1316,0.8238368018602611,859,1213,29
16,558,1246,0.8172381505950213,859,1320,26
17,572,1235,0.8201564957807777,893,1415,24
18,560,1155,0.8016647248368257,865,1532,29
19,568,1067,0.7746277410359013,858,1639,40
20,555,1081,0.7716983596857291,837,1747,21
21,572,1012,0.7555074609571881,858,1844,31
22,561,1173,0.7665748443431699,841,1932,28
23,542,1232,0.7769209049798927,814,2023,32
24,525,1238,0.7821949176498078,788,2137,29
25,507,1155,0.777057054373578,764,2254,29
26,506,1122,0.7722171133168273,764,2347,28
27,489,1108,0.7694149729268209,739,2434,29
28,497,1013,0.7422170171002354,737,2532,19
29,489,952,0.7234524678708416,721,2639,28
30,487,961,0.7178382109977731,714,2707,25
31,509,990,0.72947634069074,755,2793,26
32,529,925,0.7075732462574965,766,2877,22
33,508,932,0.7096534294718664,736,2979,30
34,522,1046,0.7481063322822573,774,3062,34
35,523,1120,0.77717353479592,788,3158,28
36,522,1117,0.786764395148442,789,3245,24
37,538,1121,0.7822651365598566,804,3349,29
38,562,1037,0.7528200762596842,814,3445,24
39,581,1016,0.7485163978640182,849,3533,24
40,574,938,0.7192739289687459,825,3638,33
41,553,924,0.7102455027615933,792,3739,26
42,558,1074,0.7324690479269361,807,3845,31
43,578,1008,0.7142470984176625,827,3934,25
44,591,919,0.6921958855252346,832,4025,31
45,588,906,0.6900946486641752,827,4133,25
46,581,869,0.6861071504434634,821,4231,21
47,586,791,0.656950812805787,813,4349,39
48,607,717,0.6405965637447042,836,4446,29
49,592,707,0.6358981190882513,812,4539,27
50,577,783,0.6627001828882785,809,4640,29
51,574,723,0.6548525699809469,797,4748,29
52,563,664,0.6358714547979845,772,4842,31
53,532,654,0.6404907451080648,733,4938,36
54,531,773,0.6940121968315814,772,5047,21
55,523,886,0.7323290575363142,781,5147,30
56,558,774,0.7175651192298569,813,5243,13
57,545,821,0.7284168091899028,794,5340,34
58,570,930,0.7461861460225889,837,5435,21
59,572,941,0.7498354130657803,840,5541,30
60,586,1157,0.7985626154246617,895,5653,34
61,600,1075,0.7914220785103478,905,5746,30
62,590,1254,0.8117648357001315,896,5857,24
63,579,1176,0.8057487168367246,875,5969,18
64,554,1177,0.7981743724516391,834,6086,34
65,554,1166,0.794471493885551,835,6207,21
66,523,1135,0.7872136350980212,787,6310,38
67,519,1106,0.7657166630649891,767,6423,23
68,544,1232,0.7900397095043521,821,6524,23
69,543,1218,0.7812085711429854,812,6619,29
70,554,1168,0.755175266172252,807,6722,30
71,531,1147,0.7412238863907648,764,6811,33
72,534,1286,0.775475784654007,793,6910,22
73,551,1334,0.7773195161690267,817,7008,31
74,535,1329,0.7801790585557812,793,7085,28
75,545,1234,0.7503972987460045,789,7191,29
76,563,1195,0.7203434756163978,792,7300,28
77,543,1194,0.7004325156908061,746,7408,32
78,527,1525,0.7715662055410509,785,7498,24
79,546,1411,0.7804388607266961,813,7599,22
80,560,1371,0.7744438182945346,828,7676,33
81,536,1374,0.7744817661041403,798,7765,27
82,517,1347,0.7521255674133388,756,7868,33
83,520,1390,0.7666128448508608,772,7973,27
84,488,1424,0.7741162472909663,726,8061,36
85,518,1495,0.7886759828355554,780,8154,17
86,542,1389,0.7433951223591416,782,8263,19
87,522,1730,0.7896078674374034,789,8351,29
88,537,1730,0.7984578226999589,804,8440,26
89,530,1721,0.804238941995351,795,8525,27
90,506,1674,0.805207163997316,759,8628,27
91,497,1619,0.7941789482925207,744,8742,26
92,469,1651,0.7912103070549655,701,8845,30
93,447,1616,0.7824969499058848,669,8928,26
94,439,1604,0.7777748167547782,657,9015,22
95,448,1796,0.8033077118828147,683,9089,20
96,437,1776,0.809820045343983,667,9181,17
97,415,1791,0.8068266940087359,633,9270,24
98,430,1725,0.7858808394547661,642,9347,22
99,412,1792,0.801426796155843,623,9420,19
